"id","Specimen","NFlag","Egg10","Ovip","OvipS","MyrmicaYN","Noperaiepittfall","NoperaiepittfallS","Horigano","HoriganoS","HGrass","HGrassS","Origanupatchdiameter","OriganupatchdiameterS","BV","BVR","BR","BF","NB","scabrinodis","scabrinodisS","sabuleti","sabuletiS","schencki","schenckiS","sulcinodis","sulcinodisS","rugulosa","rugulosaS"
107,13,130,0,0,-0.82,1,23,0.96,30,-1.1,12,-0.28,130,1.04,1,1,1,1,1,14,0.46,9,4.14,0,-0.31,0,-0.17,0,-0.11
108,13,131,0,0,-0.82,1,2,-0.41,40,-0.5,7,-0.96,100,0.47,1,1,0,0,1,0,-0.45,2,0.69,0,-0.31,0,-0.17,0,-0.11
109,14,133,0,0,-0.82,1,10,0.11,40,-0.5,10,-0.56,30,-0.87,0,0,1,1,0,9,0.13,0,-0.3,1,0.56,0,-0.17,0,-0.11
110,14,134,0,0,-0.82,1,2,-0.41,30,-1.1,6,-1.1,40,-0.68,1,1,0,0,1,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
111,14,138,0,0,-0.82,1,1,-0.47,45,-0.2,8,-0.83,50,-0.49,1,1,0,0,1,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
112,16,147,0,0,-0.82,1,5,-0.21,35,-0.8,10,-0.56,120,0.85,1,1,1,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
113,17,156,0,0,-0.82,1,6,-0.15,35,-0.8,13,-0.15,40,-0.68,1,1,1,1,0,2,-0.32,4,1.67,0,-0.31,0,-0.17,0,-0.11
114,17,156,0,0,-0.82,1,6,-0.15,35,-0.8,13,-0.15,40,-0.68,0,0,0,0,0,2,-0.32,4,1.67,0,-0.31,0,-0.17,0,-0.11
115,18,156,0,0,-0.82,1,6,-0.15,35,-0.8,13,-0.15,40,-0.68,0,0,0,0,0,2,-0.32,4,1.67,0,-0.31,0,-0.17,0,-0.11
116,17,157,0,0,-0.82,1,1,-0.47,20,-1.7,8,-0.83,30,-0.87,1,1,1,1,1,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
117,19,161,0,0,-0.82,1,5,-0.21,50,0.11,15,0.12,60,-0.3,1,1,1,1,1,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
118,19,162,0,0,-0.82,1,5,-0.21,50,0.11,14,-0.01,40,-0.68,1,1,1,1,1,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
119,20,167,0,0,-0.82,1,3,-0.34,35,-0.8,12,-0.28,70,-0.11,1,1,1,0,0,0,-0.45,3,1.18,0,-0.31,0,-0.17,0,-0.11
120,21,169,0,0,-0.82,1,5,-0.21,20,-1.7,15,0.12,70,-0.11,1,0,1,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
121,21,172,0,0,-0.82,1,1,-0.47,45,-0.2,20,0.8,140,1.23,1,1,1,1,1,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
122,21,176,0,0,-0.82,1,10,0.11,70,1.31,30,2.16,80,0.08,1,1,1,1,1,10,0.2,0,-0.3,0,-0.31,0,-0.17,0,-0.11
123,21,177,0,0,-0.82,1,20,0.76,65,1.01,35,2.84,100,0.47,1,1,1,1,1,3,-0.26,15,7.09,0,-0.31,0,-0.17,0,-0.11
124,1,2,1,2,1.19,1,2,-0.41,35,-0.8,35,2.84,60,-0.3,1,0,0,0,0,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
125,2,5,1,2,1.19,1,50,2.72,40,-0.5,8,-0.83,120,0.85,1,0,1,0,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
126,2,6,1,2,1.19,1,50,2.72,30,-1.1,5,-1.23,40,-0.68,1,0,0,0,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
127,3,9,1,2,1.19,1,2,-0.41,30,-1.1,15,0.12,40,-0.68,0,0,1,1,0,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
128,3,11,1,1,0.19,1,2,-0.41,45,-0.2,15,0.12,180,1.99,1,0,0,0,0,0,-0.45,2,0.69,0,-0.31,0,-0.17,0,-0.11
129,4,12,1,1,0.19,1,1,-0.47,30,-1.1,10,-0.56,15,-1.16,1,0,0,0,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
130,4,13,1,1,0.19,1,3,-0.34,70,1.31,10,-0.56,50,-0.49,1,1,0,0,0,0,-0.45,0,-0.3,3,2.29,0,-0.17,0,-0.11
131,9,13,1,1,0.19,1,3,-0.34,70,1.31,10,-0.56,50,-0.49,1,1,0,0,0,0,-0.45,0,-0.3,3,2.29,0,-0.17,0,-0.11
132,4,15,1,1,0.19,1,1,-0.47,50,0.11,20,0.8,40,-0.68,1,0,0,0,0,0,-0.45,1,0.2,0,-0.31,0,-0.17,0,-0.11
133,4,16,1,1,0.19,1,10,0.11,57.5,0.56,18,0.53,60,-0.3,1,0,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
134,4,18,1,2,1.19,1,10,0.11,20,-1.7,25,1.48,120,0.85,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
135,5,22,1,1,0.19,1,5,-0.21,50,0.11,15,0.12,60,-0.3,1,0,0,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
136,5,28,1,2,1.19,1,1,-0.47,35,-0.8,15,0.12,45,-0.58,1,0,0,0,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
137,6,29,1,2,1.19,1,2,-0.41,42.5,-0.35,15,0.12,200,2.38,1,0,1,1,0,0,-0.45,0,-0.3,2,1.43,0,-0.17,0,-0.11
138,6,33,1,3,2.2,1,2,-0.41,45,-0.2,3,-1.51,45,-0.58,0,0,1,0,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,1,5.94
139,6,35,1,1,0.19,1,5,-0.21,50,0.11,5,-1.23,35,-0.78,1,0,0,0,1,0,-0.45,1,0.2,0,-0.31,0,-0.17,0,-0.11
140,6,36,1,1,0.19,1,10,0.11,50,0.11,5,-1.23,40,-0.68,0,1,0,0,0,10,0.2,0,-0.3,0,-0.31,0,-0.17,0,-0.11
141,7,39,1,1,0.19,1,5,-0.21,55,0.41,15,0.12,30,-0.87,1,0,0,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
142,7,40,1,3,2.2,1,5,-0.21,70,1.31,35,2.84,15,-1.16,0,1,1,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
143,7,41,1,3,2.2,1,50,2.72,80,1.91,10,-0.56,150,1.42,1,1,1,0,0,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
144,8,46,1,1,0.19,1,5,-0.21,40,-0.5,25,1.48,100,0.47,1,0,0,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
145,7,48,1,1,0.19,1,1,-0.47,25,-1.4,15,0.12,40,-0.68,1,1,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
146,7,48,1,1,0.19,1,1,-0.47,25,-1.4,15,0.12,40,-0.68,1,1,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
147,7,49,1,1,0.19,1,10,0.11,30,-1.1,20,0.8,15,-1.16,1,0,0,0,0,7,0,0,-0.3,3,2.29,0,-0.17,0,-0.11
148,8,55,1,1,0.19,1,1,-0.47,50,0.11,20,0.8,50,-0.49,1,0,1,0,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
